Private Entity,External URI,Confidence
Koch,http://www.wikidata.org/entity/Q1348074,0.9
Rimae Bode,http://www.wikidata.org/entity/Q11834890,0.9
Trump,http://www.wikidata.org/entity/Q16944413,0.9
Artemis Latest,N/A,0.0
Gateway,http://www.wikidata.org/entity/Q53060,0.9
Navias,http://www.wikidata.org/entity/Q95141088,0.9
Artemis Base Camp,N/A,0.0
the Space Launch System,N/A,0.0
the European Service Module,N/A,0.0
Julian Dossett Published -,N/A,0.0
Anthony Wood,http://www.wikidata.org/entity/Q691873,0.9
Jenny Knotts Johnson Space Center,N/A,0.0
The United States,http://www.wikidata.org/entity/Q30,0.9
Earth,http://www.wikidata.org/entity/Q2,0.9
the Orion Program,N/A,0.0
the Starship Human Landing System,N/A,0.0
Harvest Moon,http://www.wikidata.org/entity/Q785815,0.9
Tom Stafford,http://www.wikidata.org/entity/Q982595,0.9
Jared Isaacman,http://www.wikidata.org/entity/Q6160001,0.9
EUS,http://www.wikidata.org/entity/Q8752,0.9
Charles,http://www.wikidata.org/entity/Q2958359,0.9
Robert Z. Pearlman,http://www.wikidata.org/entity/Q7348797,0.9
Lori Glaze,http://www.wikidata.org/entity/Q23769992,0.9
Nelson,http://www.wikidata.org/entity/Q2782528,0.9
Space Launch System,http://www.wikidata.org/entity/Q64127,0.9
Mercury,http://www.wikidata.org/entity/Q613883,0.9
Jim Lovell,http://www.wikidata.org/entity/Q111240,0.9
The Soviet Union,http://www.wikidata.org/entity/Q15180,0.9
SLS,http://www.wikidata.org/entity/Q8012895,0.9
Ed Smylie,http://www.wikidata.org/entity/Q134488541,0.9
Cubesat,http://www.wikidata.org/entity/Q1142930,0.9
Lockheed Martin,http://www.wikidata.org/entity/Q7240,0.9
the Orion Crew Capsule,N/A,0.0
Isaacman,http://www.wikidata.org/entity/Q37500367,0.9
Astronauts,http://www.wikidata.org/entity/Q11631,0.9
Derrol Nail,N/A,0.0
Starship,http://www.wikidata.org/entity/Q15706519,0.9
the Interim Cryogenic Propulsion Stage,N/A,0.0
Bend,http://www.wikidata.org/entity/Q37170392,0.9
Lunokhod 2,http://www.wikidata.org/entity/Q1051675,0.9
Mike Wall Published - Missions - - NASA,N/A,0.0
Cheryl Warner,N/A,0.0
Bill Nelson,http://www.wikidata.org/entity/Q358437,0.9
the Terran Orbital Corporation,N/A,0.0
Artemis 4,http://www.wikidata.org/entity/Q60846240,0.9
Doug Cooke,N/A,0.0
Artemis,http://www.wikidata.org/entity/Q20000154,0.9
Sean Duffy,http://www.wikidata.org/entity/Q1729888,0.9
Moon,http://www.wikidata.org/entity/Q16877383,0.9
Rocket Lab Launch Complex 1,http://www.wikidata.org/entity/Q28180879,0.9
Gene Kranz,http://www.wikidata.org/entity/Q711493,0.9
Grand Central Publishing,http://www.wikidata.org/entity/Q18150392,0.9
BepiColombo,http://www.wikidata.org/entity/Q113169,0.9
Andrew Jones,http://www.wikidata.org/entity/Q728119,0.9
Jim Bridenstine,http://www.wikidata.org/entity/Q3601035,0.9
Donald Trump,http://www.wikidata.org/entity/Q22686,0.9
Space.com,http://www.wikidata.org/entity/Q3112835,0.9
the Red Planet,http://www.wikidata.org/entity/Q85808302,0.9
Robert Z. Pearlman Published - Artemis,N/A,0.0
Lauren DeCicca,http://www.wikidata.org/entity/Q124656559,0.9
Irvine,http://www.wikidata.org/entity/Q49219,0.9
1st moon astronauts,N/A,0.0
Human Landing Systems,N/A,0.0
Tyvak Nano-Satellite Systems,http://www.wikidata.org/entity/Q22078253,0.9
ESA,http://www.wikidata.org/entity/Q42262,0.9
Paul Van Hoeydonck,http://www.wikidata.org/entity/Q553403,0.9
the International Space Station,http://www.wikidata.org/entity/Q59649329,0.9
Venus,http://www.wikidata.org/entity/Q47652,0.9
Congress,http://www.wikidata.org/entity/Q10225,0.9
CAPSTONE,http://www.wikidata.org/entity/Q85160256,0.9
The SLS Program,N/A,0.0
the International Habitation Module,N/A,0.0
Apollo,http://www.wikidata.org/entity/Q665812,0.9
the U.S. Senate,http://www.wikidata.org/entity/Q79361290,0.9
US Mint,http://www.wikidata.org/entity/Q1141049,0.9
Mars,http://www.wikidata.org/entity/Q111,0.9
ISS,http://www.wikidata.org/entity/Q23175558,0.9
Jeff,http://www.wikidata.org/entity/Q18609696,0.9
OIG,http://www.wikidata.org/entity/Q177479,0.9
Sharmila Kuthunur,N/A,0.0
The Human Landing System,N/A,0.0
John Lithgow,http://www.wikidata.org/entity/Q311271,0.9
Mike Wall,http://www.wikidata.org/entity/Q325487,0.9
Reid Wiseman,http://www.wikidata.org/entity/Q3116390,0.9
Florida,http://www.wikidata.org/entity/Q812,0.9
Samantha Mathewson,N/A,0.0
Ed Stone,http://www.wikidata.org/entity/Q113629644,0.9
Stone,http://www.wikidata.org/entity/Q22731,0.9
SpaceX,http://www.wikidata.org/entity/Q193701,0.9
China,http://www.wikidata.org/entity/Q148,0.9
Eugene Cernan,http://www.wikidata.org/entity/Q158486,0.9
Boeing,http://www.wikidata.org/entity/Q66,0.9
Josh Dinner,N/A,0.0
NASA,http://www.wikidata.org/entity/Q309751,0.9
Brett Tingley,N/A,0.0
the Southern Hemisphere,http://www.wikidata.org/entity/Q18339674,0.9
Vehicle Assembly Building,http://www.wikidata.org/entity/Q901058,0.9
STarship,http://www.wikidata.org/entity/Q15706519,0.9
